GN_ID,Gene_Name,log2FC(insoluble/soluble protein ratio), -LOG10(P-VALUE),Protein_ID
Nexn_sp|Q7TPW1|NEXN_MOUSE,Nexn,-0.585700516482875,2.54371331862155,Q7TPW1
Camk2g_sp|Q923T9-3|KCC2G_MOUSE,Camk2g,-0.586304087932798,2.33495214662756,Q923T9-3
Camk2g_sp|Q923T9|KCC2G_MOUSE,Camk2g,-0.59178153830618,2.42414341883508,Q923T9
Rbm3_tr|Q8BG13|Q8BG13_MOUSE,Rbm3,-0.59386350404795,1.63824258234698,Q8BG13
Ctps1_sp|P70698|PYRG1_MOUSE,Ctps1,-0.597125002188061,3.03666044149247,P70698
Nqo1_sp|Q64669|NQO1_MOUSE,Nqo1,-0.598266003050409,2.45329925880536,Q64669
Gbp7_tr|Q91Z40|Q91Z40_MOUSE,Gbp7,-0.60781980667604,1.87485818899106,Q91Z40
Gstm4_tr|Q8R5I6|Q8R5I6_MOUSE,Gstm4,-0.609335966584649,1.88171236076512,Q8R5I6
Emc1_sp|Q8C7X2|EMC1_MOUSE,Emc1,-0.609733968464395,1.45526741972195,Q8C7X2
Nup35_sp|Q8R4R6|NUP53_MOUSE,Nup35,-0.611103659094158,2.47710552725982,Q8R4R6
Rnf113a2_tr|Q14B01|Q14B01_MOUSE,Rnf113a2,-0.621913364338223,1.30552869096884,Q14B01
Gstm4_tr|Q8R5I6|Q8R5I6_MOUSE,Gstm4,-0.623522395557896,1.91851341388306,Q8R5I6
Stat1_sp|P42225|STAT1_MOUSE,Stat1,-0.624023778877886,2.48584459520684,P42225
Camk2g_sp|Q923T9-2|KCC2G_MOUSE,Camk2g,-0.625128591695872,2.66743061927575,Q923T9-2
Mtch1_sp|Q791T5|MTCH1_MOUSE,Mtch1,-0.626000097484876,1.36234842300815,Q791T5
Minpp1_sp|Q9Z2L6|MINP1_MOUSE,Minpp1,-0.637111397908582,2.0152166369059,Q9Z2L6
Rbm3_sp|O89086|RBM3_MOUSE,Rbm3,-0.637272888309979,2.32018044890525,O89086
Rbm3_sp|O89086|RBM3_MOUSE,Rbm3,-0.64085474416731,2.32982245872972,O89086
Slmap_sp|Q3URD3|SLMAP_MOUSE,Slmap,-0.641382366720467,2.22464187382262,Q3URD3
Nt5c1a_sp|A3KFX0|5NT1A_MOUSE,Nt5c1a,-0.64166819447396,2.18870269927069,A3KFX0
Tmpo_sp|Q61029-3|LAP2B_MOUSE,Tmpo,-0.644099570508083,2.15202469097111,Q61029-3
Fetub_sp|Q9QXC1|FETUB_MOUSE,Fetub,-0.653742372552123,1.75332302661553,Q9QXC1
Rbm3_tr|Q8BG13|Q8BG13_MOUSE,Rbm3,-0.655738041664237,1.78879757771107,Q8BG13
Ctps1_sp|P70698|PYRG1_MOUSE,Ctps1,-0.656529866168227,3.21590221797037,P70698
Camk2d_sp|Q6PHZ2|KCC2D_MOUSE,Camk2d,-0.656706626774882,2.49329302236726,Q6PHZ2
Ca3_sp|P16015|CAH3_MOUSE,Ca3,-0.656754991213181,2.89701638646196,P16015
Thbs1_sp|P35441|TSP1_MOUSE,Thbs1,-0.660026501948803,1.54454032602842,P35441
Cdh13_sp|Q9WTR5|CAD13_MOUSE,Cdh13,-0.662814500970014,1.59655156955321,Q9WTR5
Cltb_sp|Q6IRU5-2|CLCB_MOUSE,Cltb,-0.662938110091963,2.68539325154092,Q6IRU5-2
Hpx_sp|Q91X72|HEMO_MOUSE,Hpx,-0.670367646944264,1.64984890077718,Q91X72
Tmpo_sp|Q61029-2|LAP2B_MOUSE,Tmpo,-0.671202443667491,1.75377892613005,Q61029-2
